epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,367.802,1.35675,5.19812,1.04172,0.0008,0.00748,0.00045,0.00015,1.09956,4.13379,0.95312,6.666e-05,6.666e-05,6.666e-05
2,960.374,1.33931,4.42184,0.99053,0.00059,0.00935,0.0008,0.00026,1.15014,4.07252,0.9481,0.00014157,0.00014157,0.00014157
3,1535.35,1.4992,6.26537,0.9576,0.00026,0.00561,0.00131,0.001,1.14382,4.03097,0.94762,0.000213401,0.000213401,0.000213401
4,2200.54,1.3148,3.73348,0.9309,0.00136,0.00818,0.00275,0.00162,1.05971,3.97069,0.93578,0.000282152,0.000282152,0.000282152
5,2647.39,1.29385,3.5353,0.98984,0.00092,0.01005,0.0038,0.00174,1.03225,3.84452,0.94805,0.000347823,0.000347823,0.000347823
7,511.628,1.12713,3.68945,1.03316,0,0,0,0,1.13018,3538.47,1.03293,0.000469926,0.000469926,0.000469926
8,843.15,1.11475,3.00087,0.9856,0.06554,0.11745,0.03788,0.02498,1.07569,399.184,1.0345,0.000526358,0.000526358,0.000526358
9,904.126,1.18165,4.28831,0.97127,0.12609,0.43036,0.10522,0.07809,1.05768,27.087,0.97739,0.000579711,0.000579711,0.000579711
10,958.913,1.15091,3.00616,0.92531,0.08571,0.58618,0.12471,0.0923,1.0055,5.68825,0.95316,0.000629984,0.000629984,0.000629984
11,1009.46,1.1588,3.05408,1.01066,0.05768,0.68127,0.17287,0.11875,1.08861,3.53853,0.98545,0.000677177,0.000677177,0.000677177
12,1060.66,1.13124,2.80192,1.31326,0.04676,0.75049,0.17035,0.12407,1.05443,3.32688,3.55799,0.00072129,0.00072129,0.00072129
13,1113.36,1.38893,4.1302,1.06906,0.04732,0.80767,0.21218,0.15468,1.06099,3.13285,1.44109,0.000762324,0.000762324,0.000762324
14,1162.37,1.37404,3.47624,1.01394,0.0411,0.80264,0.22641,0.15599,1.07757,3.19813,0.95121,0.000800278,0.000800278,0.000800278
15,1209.62,1.21124,3.56708,0.95676,0.04076,0.81257,0.2921,0.19667,1.12932,2.95055,0.95052,0.000803031,0.000803031,0.000803031
16,1261.98,1.15522,23.7084,0.83858,0.028,0.59794,0.18922,0.12922,1.09165,3.345,0.95607,0.000781033,0.000781033,0.000781033
17,1310.6,1.29959,3.24373,1.00054,0.0205,0.43422,0.13933,0.09588,1.04854,3.49749,0.96598,0.000759035,0.000759035,0.000759035
18,1358.75,1.23881,2.88115,1.13866,0.64215,0.17127,0.25478,0.18146,1.14255,3.13574,1.02066,0.000737037,0.000737037,0.000737037
19,1408.5,1.24423,2.78956,1.05747,0.90431,0.10154,0.30404,0.22226,1.08273,2.60137,1.17005,0.00071504,0.00071504,0.00071504
20,1464.88,1.17371,3.8022,0.93768,0.21437,0.44327,0.29856,0.22409,1.00473,2.81072,1.33837,0.000693042,0.000693042,0.000693042
21,1515.3,1.15704,2.7984,0.93523,0.02881,0.67926,0.3039,0.23156,0.98274,2.87896,1.08392,0.000671044,0.000671044,0.000671044
22,1567.65,1.11656,3.12466,0.96569,0.59699,0.2776,0.28492,0.20567,1.1092,2.96607,1.00245,0.000649046,0.000649046,0.000649046
23,1636.02,1.13963,2.48278,0.94719,0.91649,0.05635,0.24024,0.17803,1.14663,3.08992,1.17062,0.000627048,0.000627048,0.000627048
24,1682.44,1.22055,2.81802,0.95335,0.83585,0.09344,0.27163,0.20361,1.08723,2.88831,1.09473,0.000605051,0.000605051,0.000605051
25,1728.88,1.06203,2.46221,1.02226,0.81884,0.14107,0.31174,0.23788,1.00831,2.51784,0.98595,0.000583053,0.000583053,0.000583053
26,1774.93,1.08673,2.88147,0.93968,0.65502,0.40105,0.41949,0.32164,0.91725,1.99426,0.94455,0.000561055,0.000561055,0.000561055
27,1820.27,1.08354,2.68261,0.91593,0.62658,0.42644,0.45032,0.34226,0.91909,2.05914,0.94726,0.000539057,0.000539057,0.000539057
28,1869.36,1.08044,2.83039,0.93705,0.64976,0.30653,0.42131,0.32447,0.9526,2.27654,0.95706,0.000517059,0.000517059,0.000517059
29,1916.69,1.08761,2.65049,0.91308,0.64281,0.35204,0.43935,0.32999,0.93006,2.19091,0.95131,0.000495062,0.000495062,0.000495062
30,1963.88,1.02979,2.41854,0.90504,0.62957,0.54276,0.4697,0.37265,0.86411,1.74374,0.93294,0.000473064,0.000473064,0.000473064
31,2010.49,1.02959,2.40026,0.89088,0.60873,0.56575,0.48058,0.38827,0.83395,1.4967,0.92527,0.000451066,0.000451066,0.000451066
32,2066.61,0.90406,2.79646,0.97477,0.62168,0.48897,0.49469,0.39483,0.82417,1.54935,0.9135,0.000429068,0.000429068,0.000429068
33,2116.74,1.13277,2.73986,0.90616,0.70784,0.46141,0.51726,0.40941,0.82465,1.64645,0.93628,0.00040707,0.00040707,0.00040707
34,2183.82,1.20077,3.28037,0.92845,0.8134,0.38315,0.51749,0.39342,0.86957,1.97304,0.95171,0.000385073,0.000385073,0.000385073
35,2237.47,1.09876,2.54963,0.88907,0.82351,0.26893,0.45506,0.34327,0.87777,2.32371,0.92715,0.000363075,0.000363075,0.000363075
36,2292.01,0.96615,2.60461,0.99046,0.79503,0.29604,0.44751,0.35142,0.83628,2.09339,0.91644,0.000341077,0.000341077,0.000341077
37,2347.93,0.9992,2.80255,0.895,0.62253,0.37382,0.4729,0.3773,0.81973,1.91795,0.90879,0.000319079,0.000319079,0.000319079
38,2397.53,1.00386,2.17459,0.8877,0.63043,0.50762,0.50959,0.41183,0.80436,1.58779,0.92138,0.000297081,0.000297081,0.000297081
